Timestamp,Library,OptimizationMode,QueueType,Implementation,ContentionLevel,Producers,Consumers,BatchSize,TotalItems,DurationSec,OpsPerSec,GCBytes,GCEfficiency,ScalingFactor,LatMin,LatP25,LatP50,LatP90,LatP99,LatP999,LatMax
2025-11-28T15:44:24.776176-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0.040,5000000.00,9699504,21.11,1.000,,,,,,,
2025-11-28T15:44:24.827852-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Medium,2,2,N/A,200000,0.050,4000000.00,9754208,21.00,0.400,,,,,,,
2025-11-28T15:44:24.933663-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,200000,0.100,2000000.00,9959600,20.56,0.100,,,,,,,
2025-11-28T15:44:25.059986-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,High,8,8,N/A,200000,0.130,1538461.50,10222512,20.03,0.038,,,,,,,
2025-11-28T15:44:25.212986-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Very-High,16,16,N/A,200000,0.150,1333324.50,11041456,18.55,0.017,,,,,,,
2025-11-28T15:44:25.373434-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Very-High,32,32,N/A,200000,0.160,1250000.00,12679600,16.15,0.008,,,,,,,
2025-11-28T15:44:25.597811-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Very-High,64,64,N/A,200000,0.230,869565.20,14768896,13.87,0.003,,,,,,,
2025-11-28T15:44:25.687985-06:00,cl-freelock,Multi-Threaded,MPSC,Lock-Free-Unbounded,Medium,4,1,N/A,200000,0.090,2222222.30,9861008,20.77,0.178,,,,,,,
2025-11-28T15:44:25.775103-06:00,cl-freelock,Multi-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0.080,2500000.00,9795232,20.91,0.200,,,,,,,
2025-11-28T15:44:26.048004-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,1024000,0.270,3792578.50,131040,8001.95,1.000,,,,,,,
2025-11-28T15:44:26.350855-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Medium,2,2,N/A,1024000,0.300,3413333.30,131008,8003.91,0.450,,,,,,,
2025-11-28T15:44:26.788509-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,1024000,0.440,2327267.50,262016,4001.95,0.153,,,,,,,
2025-11-28T15:44:27.335834-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,High,8,8,N/A,1024000,0.540,1896296.30,524032,2000.98,0.063,,,,,,,
2025-11-28T15:44:27.847433-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Very-High,16,16,N/A,1024000,0.520,1969230.80,1048064,1000.49,0.032,,,,,,,
2025-11-28T15:44:28.305479-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Very-High,32,32,N/A,1024000,0.450,2275550.50,2179984,481.00,0.019,,,,,,,
2025-11-28T15:44:28.735655-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Very-High,64,64,N/A,1024000,0.430,2381389.80,4348480,241.14,0.010,,,,,,,
2025-11-28T15:44:28.795664-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Batch,1P-1C,1,1,64,1024000,0.060,17066666.00,26230848,39.97,1.000,,,,,,,
2025-11-28T15:44:28.821480-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,Medium,2,2,64,1024000,0.030,34132196.00,32136992,32.63,1.000,,,,,,,
2025-11-28T15:44:28.849996-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,Medium,4,4,64,1024000,0.030,34133330.00,40077216,26.16,0.500,,,,,,,
2025-11-28T15:44:28.878680-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,High,8,8,64,1024000,0.030,34133330.00,62986240,16.65,0.250,,,,,,,
2025-11-28T15:44:29.601343-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,Very-High,16,16,64,1024000,0.720,1422218.30,710382816,1.48,0.005,,,,,,,
2025-11-28T15:44:32.647951-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,Very-High,32,32,64,1024000,3.050,335736.80,2295707200,0.46,0.001,,,,,,,
2025-11-28T15:44:40.577721-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Batch,Very-High,64,64,64,1024000,7.930,129129.79,4465371600,0.23,0.000,,,,,,,
2025-11-28T15:44:41.375354-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,5000000,0.790,6329106.00,131072,39062.50,1.000,,,,,,,
2025-11-28T15:44:41.860886-06:00,Lock-Based,Multi-Threaded,SPSC,Mutex-Protected-List,1P-1C,1,1,N/A,1000000,0.480,2083333.40,16146800,63.42,1.000,,,,,,,
2025-11-28T15:44:42.315420-06:00,oconnore/queues,Multi-Threaded,SPSC,External-Queue,1P-1C,1,1,N/A,1000000,0.430,2325581.50,10082656,101.56,1.000,,,,,,,
2025-11-28T15:44:42.949733-06:00,Lock-Based,Multi-Threaded,Balanced,Mutex-Protected-List,Medium,4,4,N/A,1000000,0.640,1562497.50,16376000,62.53,0.187,,,,,,,
2025-11-28T15:44:44.318005-06:00,oconnore/queues,Multi-Threaded,Balanced,External-Queue,Medium,4,4,N/A,1000000,1.360,735294.10,10235760,100.04,0.079,,,,,,,
2025-11-28T15:44:45.373404-06:00,Lock-Based,Multi-Threaded,Balanced,Mutex-Protected-List,High,8,8,N/A,1000000,1.050,952380.06,16834656,60.83,0.057,,,,,,,
2025-11-28T15:44:47.562192-06:00,oconnore/queues,Multi-Threaded,Balanced,External-Queue,High,8,8,N/A,1000000,2.180,458715.60,10687472,95.81,0.025,,,,,,,
2025-11-28T15:44:48.436001-06:00,Lock-Based,Multi-Threaded,Balanced,Mutex-Protected-List,Very-High,16,16,N/A,1000000,0.870,1149424.00,17065264,60.00,0.034,,,,,,,
2025-11-28T15:44:51.332709-06:00,oconnore/queues,Multi-Threaded,Balanced,External-Queue,Very-High,16,16,N/A,1000000,2.890,346020.66,11419696,89.67,0.009,,,,,,,
2025-11-28T15:44:52.243429-06:00,Lock-Based,Multi-Threaded,Balanced,Mutex-Protected-List,Very-High,32,32,N/A,1000000,0.910,1098903.50,18930688,54.09,0.016,,,,,,,
2025-11-28T15:44:54.316504-06:00,oconnore/queues,Multi-Threaded,Balanced,External-Queue,Very-High,32,32,N/A,1000000,2.060,485440.20,12709952,80.57,0.007,,,,,,,
2025-11-28T15:44:55.307555-06:00,Lock-Based,Multi-Threaded,Balanced,Mutex-Protected-List,Very-High,64,64,N/A,1000000,0.990,1010102.00,21059536,48.62,0.008,,,,,,,
2025-11-28T15:44:57.230186-06:00,oconnore/queues,Multi-Threaded,Balanced,External-Queue,Very-High,64,64,N/A,1000000,1.910,523560.22,12303072,83.23,0.004,,,,,,,
2025-11-28T15:44:57.593098-06:00,Lock-Based,Multi-Threaded,MPSC,Mutex-Protected-List,Medium,4,1,N/A,1000000,0.360,2777777.80,16258512,62.98,0.533,,,,,,,
2025-11-28T15:44:58.339346-06:00,oconnore/queues,Multi-Threaded,MPSC,External-Queue,Medium,4,1,N/A,1000000,0.740,1351351.40,19882496,51.50,0.232,,,,,,,
2025-11-28T15:44:59.428940-06:00,Lock-Based,Multi-Threaded,SPMC,Mutex-Protected-List,Medium,1,4,N/A,1000000,1.090,917432.06,16212832,63.16,0.176,,,,,,,
2025-11-28T15:45:01.663643-06:00,oconnore/queues,Multi-Threaded,SPMC,External-Queue,Medium,1,4,N/A,1000000,2.220,450450.66,18978080,53.96,0.077,,,,,,,
2025-11-28T15:45:01.900123-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,200000,0,0,0,0,0,239,1760,1844,2052,2208,2228,2230
2025-11-28T15:45:02.086638-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,142,1507,1869,2070,2131,2135,2137
2025-11-28T15:45:02.251604-06:00,cl-freelock,Multi-Threaded,SPMC,Lock-Free-Bounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,189,653,1110,1146,1156,1162
2025-11-28T15:45:03.004477-06:00,cl-freelock,Multi-Threaded,MPSC,Lock-Free-Bounded,Medium,4,1,N/A,800000,0,0,0,0,0,782,1577,1638,1710,1755,1894,1931
2025-11-28T15:45:03.665832-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,942,1359,1572,1613,1632,1679
2025-11-28T15:45:03.821199-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,93,14980,19872,36431,37964,38094,38108
2025-11-28T15:45:03.970715-06:00,cl-freelock,Multi-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,0,1,1,3,25,449
2025-11-28T15:45:04.702150-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,2,3,10,66,370,13828
2025-11-28T15:45:09.957896-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0.040,5000000.00,9699472,21.11,1.000,,,,,,,
2025-11-28T15:45:10.029473-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,2,2,N/A,200000,0.070,2857142.80,9755456,20.99,0.286,,,,,,,
2025-11-28T15:45:10.134608-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,200000,0.100,2000000.00,9959664,20.56,0.100,,,,,,,
2025-11-28T15:45:10.271994-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,High,8,8,N/A,200000,0.140,1428571.40,10222496,20.03,0.036,,,,,,,
2025-11-28T15:45:10.440306-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,16,16,N/A,200000,0.170,1176470.60,11041760,18.55,0.015,,,,,,,
2025-11-28T15:45:10.621980-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,32,32,N/A,200000,0.180,1111111.10,12679968,16.15,0.007,,,,,,,
2025-11-28T15:45:12.401681-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,64,64,N/A,200000,1.790,111731.91,14771232,13.86,0.000,,,,,,,
2025-11-28T15:45:12.462005-06:00,cl-freelock,Single-Threaded,MPSC,Lock-Free-Unbounded,Medium,4,1,N/A,200000,0.050,3999920.00,9893760,20.70,0.320,,,,,,,
2025-11-28T15:45:12.522722-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0.060,3333333.30,9795200,20.91,0.267,,,,,,,
2025-11-28T15:45:12.814912-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,1024000,0.280,3657156.00,98784,10614.84,1.000,,,,,,,
2025-11-28T15:45:13.148391-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,2,2,N/A,1024000,0.340,3011764.80,131008,8003.91,0.412,,,,,,,
2025-11-28T15:45:13.530615-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,1024000,0.380,2694729.80,262016,4001.95,0.184,,,,,,,
2025-11-28T15:45:14.080576-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,High,8,8,N/A,1024000,0.550,1861821.60,524032,2000.98,0.064,,,,,,,
2025-11-28T15:45:14.804030-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,16,16,N/A,1024000,0.720,1422224.30,1048064,1000.49,0.024,,,,,,,
2025-11-28T15:45:15.579638-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,32,32,N/A,1024000,0.780,1312818.90,2194352,477.85,0.011,,,,,,,
2025-11-28T15:45:16.362390-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,64,64,N/A,1024000,0.780,1312822.30,4338496,241.69,0.006,,,,,,,
2025-11-28T15:45:16.447434-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Batch,1P-1C,1,1,64,1024000,0.090,11377778.00,26012736,40.31,1.000,,,,,,,
2025-11-28T15:45:16.484935-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Medium,2,2,64,1024000,0.030,34132196.00,42393072,24.73,1.500,,,,,,,
2025-11-28T15:45:17.134788-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Medium,4,4,64,1024000,0.650,1575389.50,145173472,7.22,0.035,,,,,,,
2025-11-28T15:45:18.379790-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,High,8,8,64,1024000,1.250,819200.00,775621968,1.35,0.009,,,,,,,
2025-11-28T15:45:21.176946-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,16,16,64,1024000,2.800,365714.56,857135696,1.22,0.002,,,,,,,
2025-11-28T15:45:26.429322-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,32,32,64,1024000,5.250,195047.69,4825175808,0.22,0.001,,,,,,,
2025-11-28T15:45:33.287519-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,64,64,64,1024000,6.860,149271.19,5374132912,0.20,0.000,,,,,,,
2025-11-28T15:45:34.068780-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,5000000,0.780,6410264.50,131072,39062.50,1.000,,,,,,,
2025-11-28T15:45:34.740535-06:00,Lock-Based,Single-Threaded,SPSC,Mutex-Protected-List,1P-1C,1,1,N/A,1000000,0.670,1492537.40,16146768,63.42,1.000,,,,,,,
2025-11-28T15:45:35.232630-06:00,oconnore/queues,Single-Threaded,SPSC,External-Queue,1P-1C,1,1,N/A,1000000,0.470,2127659.50,10209472,100.30,1.000,,,,,,,
2025-11-28T15:45:35.795086-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Medium,4,4,N/A,1000000,0.560,1785714.30,16343248,62.66,0.299,,,,,,,
2025-11-28T15:45:36.925660-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Medium,4,4,N/A,1000000,1.110,900901.70,10260928,99.80,0.106,,,,,,,
2025-11-28T15:45:37.872242-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,High,8,8,N/A,1000000,0.950,1052631.60,16802608,60.94,0.088,,,,,,,
2025-11-28T15:45:39.977923-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,High,8,8,N/A,1000000,2.100,476190.70,10715360,95.56,0.028,,,,,,,
2025-11-28T15:45:40.840636-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,16,16,N/A,1000000,0.860,1162790.80,17129568,59.78,0.049,,,,,,,
2025-11-28T15:45:43.250409-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,16,16,N/A,1000000,2.400,416666.66,11681984,87.66,0.012,,,,,,,
2025-11-28T15:45:44.026984-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,32,32,N/A,1000000,0.780,1282052.90,18930688,54.09,0.027,,,,,,,
2025-11-28T15:45:46.398777-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,32,32,N/A,1000000,2.370,421940.94,12696784,80.65,0.006,,,,,,,
2025-11-28T15:45:47.252997-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,64,64,N/A,1000000,0.850,1176470.60,21124928,48.47,0.012,,,,,,,
2025-11-28T15:45:49.560517-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,64,64,N/A,1000000,2.300,434782.60,10500816,97.52,0.003,,,,,,,
2025-11-28T15:45:50.053719-06:00,Lock-Based,Single-Threaded,MPSC,Mutex-Protected-List,Medium,4,1,N/A,1000000,0.490,2040820.50,16265568,62.96,0.547,,,,,,,
2025-11-28T15:45:50.839854-06:00,oconnore/queues,Single-Threaded,MPSC,External-Queue,Medium,4,1,N/A,1000000,0.770,1298701.30,39542976,25.90,0.244,,,,,,,
2025-11-28T15:45:51.753366-06:00,Lock-Based,Single-Threaded,SPMC,Mutex-Protected-List,Medium,1,4,N/A,1000000,0.910,1098901.10,16157824,63.37,0.295,,,,,,,
2025-11-28T15:45:53.791790-06:00,oconnore/queues,Single-Threaded,SPMC,External-Queue,Medium,1,4,N/A,1000000,2.030,492610.84,16293728,62.85,0.093,,,,,,,
2025-11-28T15:45:53.986019-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,200000,0,0,0,0,0,204,1132,1165,1947,2059,2076,2079
2025-11-28T15:45:54.149706-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,206,1197,1222,1302,1340,1346,1348
2025-11-28T15:45:54.289389-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Bounded,Medium,1,4,N/A,200000,0,0,0,0,0,1,989,1005,1030,1070,1081,1083
2025-11-28T15:45:54.920336-06:00,cl-freelock,Single-Threaded,MPSC,Lock-Free-Bounded,Medium,4,1,N/A,800000,0,0,0,0,0,776,1352,1491,1686,1926,2321,2607
2025-11-28T15:45:55.604401-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,1432,1494,1545,1571,1588,1739
2025-11-28T15:45:55.735231-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,1,6870,14172,21317,22971,23133,23150
2025-11-28T15:45:55.881656-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,1,1,2,45,56,62
2025-11-28T15:45:56.505704-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,1,3,6452,11604,12327,12421
